id,canonicalName,displayName,slug,aliases,identityStatus,lifecycleStatus,publicationStatus,officialDomain,officialWebsite,country,headquarters,foundedYear,parentCompany,shortDescriptionEn,categories,families,series,industries,logoAssetPath,sourceRecordIds,checkedAt,contentStatus,seoStatus,seoTitleCore,seoMetaFactual,reviewBlockerCode,reviewBlockerCategory,completenessScore
hyco,HYCO,HYCO,hyco,,REVIEW_REQUIRED,UNKNOWN,BRAND_REVIEW,,,,,,,,,,,,,,2026-08-24,NOT_READY,NOT_READY,,,AMBIGUOUS_IDENTITY,AMBIGUOUS_IDENTITY,0
hydoring-oy,Hydoring Oy,Hydoring,hydoring-oy,HYDORING | HYDORING OY,CONFIRMED,CURRENT,BRAND_SAFE,hydoring.com,https://hydoring.com/en/,Finland,"Kyrö, Finland",,,"Hydoring Oy is documented in official material for hydraulic equipment. Official product material names Hydraulic Cylinders, Hydraulic Power Units, Custom Hydraulic Systems, HD1000, HD2250, HD6120, HD6022, HD9000, HDS, and HDK.",hydraulic equipment,Hydraulic Cylinders | Hydraulic Power Units | Custom Hydraulic Systems,HD1000 | HD2250 | HD6120 | HD6022 | HD9000 | HDS | HDK,industrial processing | marine applications,brand-assets/logos/hydoring-oy.svg,wave84-hydoring-products,2026-08-24,EN_CONTENT_READY,SEO_CORE_READY,Hydoring Hydraulic equipment,"Hydoring manufacturer profile covering hydraulic equipment, based on official company and product sources.",,,95
hydra-perm,Hydra-Perm-Co Limited,Hydra-Perm,hydra-perm,HYDRA PERM | HYDRA-PERM | HYDRA-PERM-CO,CONFIRMED,CURRENT,BRAND_SAFE,hydra-perm.co.uk,https://hydra-perm.co.uk/,United Kingdom,"Leeds, United Kingdom",,,"Hydra-Perm publishes official information for pumps and pumping systems and hydraulic equipment. The published range names Gear Pumps, Hydraulic Motors, Flow Dividers, P124/424, P197, P257, P360/460, P5000/5100, and P7500/7600.",pumps and pumping systems | hydraulic equipment,Gear Pumps | Hydraulic Motors | Flow Dividers,P124/424 | P197 | P257 | P360/460 | P5000/5100 | P7500/7600,industrial processing,brand-assets/logos/hydra-perm.webp,wave84-hydra-perm-products,2026-08-24,EN_CONTENT_READY,SEO_CORE_READY,Hydra-Perm Pumps and pumping systems,"Hydra-Perm manufacturer profile covering pumps and pumping systems and hydraulic equipment, based on official company and product sources.",,,100
hydro-leduc,HYDRO LEDUC SAS,HYDRO LEDUC,hydro-leduc,HYDRO LEDUC,CONFIRMED,CURRENT,BRAND_SAFE,hydroleduc.com,https://hydroleduc.com/en/,France,"Azerailles, France",1938,,First-party sources establish HYDRO LEDUC in hydraulic equipment and pumps and pumping systems. Official company information dates its foundation to 1938.,hydraulic equipment | pumps and pumping systems,Piston Pumps | Hydraulic Motors | Hydropneumatic Accumulators | Micro-Hydraulic Components | Custom Hydraulic Solutions,,industrial processing | aerospace,brand-assets/logos/hydro-leduc.png,brand-hydro-leduc-company | brand-hydro-leduc-products,2026-08-24,EN_CONTENT_READY,SEO_CORE_READY,HYDRO LEDUC Hydraulic equipment,"HYDRO LEDUC manufacturer profile covering hydraulic equipment and pumps and pumping systems, based on official company and product sources.",,,95
hydro-mec,Hydro-Mec S.p.A.,Hydro-Mec,hydro-mec,HYDRO MEC | HYDRO-MEC,CONFIRMED,CURRENT,BRAND_SAFE,hydromec.com,https://www.hydromec.com/en/,Italy,"Veggiano, Padua, Italy",1983,,Manufacturer-owned sources identify Hydro-Mec with gear units and geared drives and shaft-locking and transmission components. The confirmed country record is Italy.,gear units and geared drives | shaft-locking and transmission components,Worm Gearboxes | Helical Gearboxes | Bevel-Helical Gearboxes | Shaft-Mounted Gearboxes | Planetary Gearboxes | Geared Motors,,industrial processing | food and pharmaceutical processing,brand-assets/logos/hydro-mec.svg,brand-hydro-mec-company | brand-hydro-mec-products,2026-08-24,EN_CONTENT_READY,SEO_CORE_READY,Hydro-Mec Gear units and geared drives,"Hydro-Mec manufacturer profile covering gear units and geared drives and shaft-locking and transmission components, based on official company and product sources.",,,95
hydro-vacuum,Hydro-Vacuum S.A.,Hydro-Vacuum,hydro-vacuum,HYDRO-VACUUM | HYDRO VACUUM,CONFIRMED,CURRENT,BRAND_SAFE,hydro-vacuum.com.pl,https://www.hydro-vacuum.com.pl/en/,Poland,"Grudziądz, Poland",1862,,First-party sources establish Hydro-Vacuum in pumps and pumping systems and filtration and water systems. Official company information dates its foundation to 1862.,pumps and pumping systems | filtration and water systems,Centrifugal Pumps | Multistage Pumps | Sewage Pumps | Deep-Well Pumps | Pumping Stations | Pressure-Boosting Systems | Fire-Fighting Pump Sets,,water and wastewater | industrial processing | energy,brand-assets/logos/hydro-vacuum.svg,brand-hydro-vacuum-company | brand-hydro-vacuum-products,2026-08-24,EN_CONTENT_READY,SEO_CORE_READY,Hydro-Vacuum Pumps and pumping systems,"Hydro-Vacuum manufacturer profile covering pumps and pumping systems and filtration and water systems, based on official company and product sources.",,,95
hydronit,Hydronit S.r.l.,Hydronit,hydronit,HYDRONIT,CONFIRMED,CURRENT,BRAND_SAFE,hydronit.com,https://www.hydronit.com/,Italy,"Varedo, Monza and Brianza, Italy",2003,,"Hydronit S.r.l. is documented in official material for hydraulic equipment and industrial automation and control. Official product material names Mini Hydraulic Power Units, Brushless Power Units, Variable-Speed Power Units, Hydraulic Manifolds, Hydraulic Tanks, and Integrated Electro-Hydraulic Systems.",hydraulic equipment | industrial automation and control,Mini Hydraulic Power Units | Brushless Power Units | Variable-Speed Power Units | Hydraulic Manifolds | Hydraulic Tanks | Integrated Electro-Hydraulic Systems,,factory automation | industrial processing,brand-assets/logos/hydronit.webp,brand-hydronit-company | brand-hydronit-products,2026-08-24,EN_CONTENT_READY,SEO_CORE_READY,Hydronit Hydraulic equipment,"Hydronit manufacturer profile covering hydraulic equipment and industrial automation and control, based on official company and product sources.",,,95
hydroscand,HYDROSCAND,HYDROSCAND,hydroscand,,REVIEW_REQUIRED,UNKNOWN,BRAND_REVIEW,,,,,,,,,,,,,,2026-08-24,NOT_READY,NOT_READY,,,BLOCKED_NON_MANUFACTURER_IDENTITY,SOURCE_ACCESS_BLOCKED,10
hydrotechnik,Hydrotechnik GmbH,Hydrotechnik,hydrotechnik,HYDROTECHNIK,CONFIRMED,CURRENT,BRAND_SAFE,hydrotechnik.com,https://www.hydrotechnik.com/en/,Germany,"Limburg an der Lahn, Germany",1964,,"The source-backed Hydrotechnik portfolio covers measurement and instrumentation, industrial sensors, hydraulic equipment, and industrial software. The confirmed country record is Germany.",measurement and instrumentation | industrial sensors | hydraulic equipment | industrial software,Mobile Measuring Instruments | Pressure Sensors | Flow Sensors | Temperature Sensors | Data-Acquisition Systems | Hydraulic Test Benches,,industrial processing | industrial manufacturing,brand-assets/logos/hydrotechnik.jpg,brand-hydrotechnik-company | brand-hydrotechnik-products,2026-08-24,EN_CONTENT_READY,SEO_CORE_READY,Hydrotechnik Measurement and instrumentation,"Hydrotechnik manufacturer profile covering measurement and instrumentation, industrial sensors, and hydraulic equipment, based on official company and product sources.",,,95
hyperline,Hyperline Systems Canada Ltd.,Hyperline,hyperline,HYPERLINE,CONFIRMED,CURRENT,BRAND_SAFE,hyperline.com,https://hyperline.com/,Canada,,1994,,The source-backed Hyperline portfolio covers industrial connectivity. The confirmed country record is Canada.,industrial connectivity,Copper Cabling Systems | Fibre-Optic Cabling Systems | Patch Panels | Telecommunications Cabinets | Data-Centre Containment | Power-Distribution Units,,building systems,,brand-hyperline-company | brand-hyperline-products,2026-08-24,EN_CONTENT_READY,SEO_CORE_READY,Hyperline Industrial connectivity,"Hyperline manufacturer profile covering industrial connectivity, based on official company and product sources.",,,80
hypertac,Hypertac,Hypertac,hypertac,HYPERTAC | HYPERBOLOID CONTACT,CONFIRMED,GROUP_BRAND,BRAND_SAFE,smithsinterconnect.com,https://www.smithsinterconnect.com/products/connectors/hypertac/,,,,Smiths Interconnect,First-party sources establish Hypertac in industrial connectivity. The documented corporate parent is Smiths Interconnect.,industrial connectivity,Circular Connectors | Rectangular Connectors | Modular Connectors | High-Power Connectors | Hyperboloid Contacts,,aerospace | rail | laboratory and life-science applications | industrial processing,,brand-hypertac-parent-products,2026-08-24,EN_CONTENT_READY,SEO_CORE_READY,Hypertac Industrial connectivity,"Hypertac manufacturer profile covering industrial connectivity, based on official company and product sources.",,,75
ist-molchtechnik,I.S.T. Molchtechnik GmbH,I.S.T. Molchtechnik,ist-molchtechnik,I.S.T. MOLCHTECHNIK | IST MOLCHTECHNIK,CONFIRMED,CURRENT,BRAND_SAFE,ist-molchtechnik.de,https://www.ist-molchtechnik.de/en/,Germany,"Hamburg, Germany",,,"The source-backed I.S.T. Molchtechnik portfolio covers industrial tools, industrial cleaning systems, and measurement and instrumentation. The confirmed country record is Germany.",industrial tools | industrial cleaning systems | measurement and instrumentation,Foam Pigs | Sealing Pigs | Cleaning Pigs | Gauging Pigs | Pig Launchers and Receivers | Pig Tracking Equipment,,oil and gas | chemical processing | food and pharmaceutical processing | water and wastewater,brand-assets/logos/ist-molchtechnik.svg,brand-ist-company | brand-ist-products,2026-08-24,EN_CONTENT_READY,SEO_CORE_READY,I.S.T. Molchtechnik Industrial tools,"I.S.T. Molchtechnik manufacturer profile covering industrial tools, industrial cleaning systems, and measurement and instrumentation, based on official company and product sources.",,,95
ibeda,IBEDA Sicherheitsgeräte und Gastechnik GmbH & Co. KG,IBEDA,ibeda,IBEDA,CONFIRMED,CURRENT,BRAND_SAFE,ibeda.com,https://www.ibeda.com/en/,Germany,"Neustadt/Wied, Germany",1960,,"Official IBEDA material documents a product scope covering industrial valves and flow control, industrial safety equipment, and measurement and instrumentation. Documented families and lines include Gas Mixers, Flashback Arrestors, Non-Return Valves, Pressure Regulators, Gas Manifolds, and Safety Testing Equipment.",industrial valves and flow control | industrial safety equipment | measurement and instrumentation,Gas Mixers | Flashback Arrestors | Non-Return Valves | Pressure Regulators | Gas Manifolds | Safety Testing Equipment,,industrial processing | industrial manufacturing,,brand-ibeda-company | brand-ibeda-products,2026-08-24,EN_CONTENT_READY,SEO_CORE_READY,IBEDA Industrial valves and flow control,"IBEDA manufacturer profile covering industrial valves and flow control, industrial safety equipment, and measurement and instrumentation, based on official company and product sources.",,,85
ibk-engineering,IBK ENGINEERING,IBK ENGINEERING,ibk-engineering,,REVIEW_REQUIRED,UNKNOWN,BRAND_REVIEW,,,,,,,,,,,,,,2026-08-24,NOT_READY,NOT_READY,,,BLOCKED_NO_AUTHORITATIVE_SOURCE,OFFICIAL_SOURCE_NOT_ESTABLISHED,0
ici-caldaie-spa,ICI Caldaie S.p.A.,ICI Caldaie,ici-caldaie-spa,ICI CALDAIE | ICI CALDAIE SPA,CONFIRMED,CURRENT,BRAND_SAFE,icicaldaie.com,https://www.icicaldaie.com/en/,Italy,"Zevio, Verona, Italy",1958,,"Manufacturer-owned sources identify ICI Caldaie with thermal-management equipment, combustion and burner systems, and filtration and water systems. The confirmed country record is Italy.",thermal-management equipment | combustion and burner systems | filtration and water systems,Steam Boilers | Hot-Water Boilers | Thermal-Oil Boilers | Heat-Recovery Boilers | Burners | Water-Treatment Equipment,,industrial processing | food and pharmaceutical processing | building systems,brand-assets/logos/ici-caldaie-spa.png,brand-ici-caldaie-company | brand-ici-caldaie-products,2026-08-24,EN_CONTENT_READY,SEO_CORE_READY,ICI Caldaie Thermal-management equipment,"ICI Caldaie manufacturer profile covering thermal-management equipment, combustion and burner systems, and filtration and water systems, based on official company and product sources.",,,95
icme,ICME S.p.A.,ICME Motors,icme,ICME | ICME MOTORS,CONFIRMED,CURRENT,BRAND_SAFE,icmemotori.com,https://www.icmemotori.com/en/,Italy,"Crema, Italy",1954,,Manufacturer-owned sources identify ICME Motors with electric motors. The confirmed country record is Italy.,electric motors,Asynchronous Motors | Permanent-Magnet DC Motors | Brushless Motors | Torque Motors | Motor-Roller Drives | Custom Electric Motors,,factory automation | industrial processing,,brand-icme-company | brand-icme-products,2026-08-24,EN_CONTENT_READY,SEO_CORE_READY,ICME Motors Electric motors,"ICME Motors manufacturer profile covering electric motors, based on official company and product sources.",,,85
icp-das,"ICP DAS Co., Ltd.",ICP DAS,icp-das,ICP DAS | ICP-DAS,CONFIRMED,CURRENT,BRAND_SAFE,icpdas.com,https://www.icpdas.com/,Taiwan,"Hsinchu, Taiwan",1993,,"ICP DAS Co., Ltd. is documented in official material for industrial automation and control and measurement and instrumentation. Official product material names Programmable Automation Controllers, Remote I/O Modules, Data-Acquisition Devices, Industrial Computers, Communication Gateways, and Industrial Ethernet Products.",industrial automation and control | measurement and instrumentation,Programmable Automation Controllers | Remote I/O Modules | Data-Acquisition Devices | Industrial Computers | Communication Gateways | Industrial Ethernet Products,,factory automation | industrial processing | energy | building systems,,brand-icp-das-company | brand-icp-das-products,2026-08-24,EN_CONTENT_READY,SEO_CORE_READY,ICP DAS Industrial automation and control,"ICP DAS manufacturer profile covering industrial automation and control and measurement and instrumentation, based on official company and product sources.",,,85
id-insert-deal,ID Insert Deal S.r.l.,ID Insert Deal,id-insert-deal,ID INSERT DEAL | INSERT DEAL,CONFIRMED,CURRENT,BRAND_SAFE,insertdeal.com,https://www.insertdeal.com/,Italy,,,,"The source-backed ID Insert Deal portfolio covers pneumatic equipment, industrial valves and flow control, and industrial automation and control. The confirmed country record is Italy.",pneumatic equipment | industrial valves and flow control | industrial automation and control,Solenoid Valves | Mechanically Operated Valves | Pneumatic Cylinders | Air-Preparation Units | Pneumatic Fittings,,factory automation | industrial processing | packaging,,brand-insert-deal-company-products | brand-insert-deal-products,2026-08-24,EN_CONTENT_READY,SEO_CORE_READY,ID Insert Deal Pneumatic equipment,"ID Insert Deal manufacturer profile covering pneumatic equipment, industrial valves and flow control, and industrial automation and control, based on official company and product sources.",,,80
idec,IDEC Corporation,IDEC,idec,IDEC | IDEC CORPORATION,CONFIRMED,CURRENT,BRAND_SAFE,idec.com,https://www.idec.com/,Japan,"Osaka, Japan",1945,,"IDEC publishes official information for industrial automation and control, industrial relays, industrial sensors, industrial safety equipment, and electrical power systems. The published range names Switches and Indicators, Relays and Timers, Programmable Controllers, Human-Machine Interfaces, Power Supplies, Industrial Sensors, and Safety Products.",industrial automation and control | industrial relays | industrial sensors | industrial safety equipment | electrical power systems,Switches and Indicators | Relays and Timers | Programmable Controllers | Human-Machine Interfaces | Power Supplies | Industrial Sensors | Safety Products,,factory automation | industrial processing | industrial manufacturing,brand-assets/logos/idec.png,brand-idec-company | brand-idec-products,2026-08-24,EN_CONTENT_READY,SEO_CORE_READY,IDEC Industrial automation and control,"IDEC manufacturer profile covering industrial automation and control, industrial relays, and industrial sensors, based on official company and product sources.",,,95
idroteck,Idroteck S.r.l.,Idroteck,idroteck,IDROTECK,CONFIRMED,CURRENT,BRAND_SAFE,idroteck.com,https://www.idroteck.com/,Italy,,,,"Official Idroteck material documents a product scope covering hydraulic equipment. Documented families and lines include Standard Hydraulic Cylinders, Custom Hydraulic Cylinders, Hydraulic Power Units, Hydraulic Manifolds, and Integrated Hydraulic Systems.",hydraulic equipment,Standard Hydraulic Cylinders | Custom Hydraulic Cylinders | Hydraulic Power Units | Hydraulic Manifolds | Integrated Hydraulic Systems,,industrial processing | industrial manufacturing,brand-assets/logos/idroteck.webp,brand-idroteck-company | brand-idroteck-products,2026-08-24,EN_CONTENT_READY,SEO_CORE_READY,Idroteck Hydraulic equipment,"Idroteck manufacturer profile covering hydraulic equipment, based on official company and product sources.",,,90
iek,IEK GROUP,IEK,iek,IEK | IEK GROUP,CONFIRMED,CURRENT,BRAND_SAFE,iek.global,https://iek.global/,,,1999,,"IEK publishes official information for industrial automation and control, industrial connectivity, and infrastructure technologies. The published range names Low-Voltage Distribution Devices, Electrical Enclosures, Wiring Devices, Industrial Automation Products, Lighting Equipment, and Cable-Management Systems.",industrial automation and control | industrial connectivity | infrastructure technologies,Low-Voltage Distribution Devices | Electrical Enclosures | Wiring Devices | Industrial Automation Products | Lighting Equipment | Cable-Management Systems,,building systems | industrial processing | energy,brand-assets/logos/iek.svg,brand-iek-company | brand-iek-products,2026-08-24,EN_CONTENT_READY,SEO_CORE_READY,IEK Industrial automation and control,"IEK manufacturer profile covering industrial automation and control, industrial connectivity, and infrastructure technologies, based on official company and product sources.",,,85
igus,igus GmbH,igus,igus,IGUS,CONFIRMED,CURRENT,BRAND_SAFE,igus.com,https://www.igus.com/,Germany,"Cologne, Germany",1964,,"The source-backed igus portfolio covers industrial connectivity, bearings, linear-motion components, and robotics and automation components. The confirmed country record is Germany.",industrial connectivity | bearings | linear-motion components | robotics and automation components,Energy Chains | Flexible Cables | Polymer Plain Bearings | Linear Bearings | Lead-Screw Systems | Slewing Rings | Low-Cost Robotics,e-chain | chainflex | iglidur | drylin | robolink,factory automation | industrial manufacturing | industrial processing,brand-assets/logos/igus.svg,brand-igus-company | brand-igus-products,2026-08-24,EN_CONTENT_READY,SEO_CORE_READY,igus Industrial connectivity,"igus manufacturer profile covering industrial connectivity, bearings, and linear-motion components, based on official company and product sources.",,,95
iko,"Nippon Thompson Co., Ltd.",IKO,iko,IKO | IKO NIPPON THOMPSON,CONFIRMED,CURRENT,BRAND_SAFE,ikont.com,https://www.ikont.com/,Japan,"Tokyo, Japan",1950,,"Official IKO material documents a product scope covering bearings and linear-motion components. Documented families and lines include Needle Roller Bearings, Linear Guides, Ball Splines, Crossed-Roller Bearings, Precision Positioning Tables, and Mechatronic Assemblies.",bearings | linear-motion components,Needle Roller Bearings | Linear Guides | Ball Splines | Crossed-Roller Bearings | Precision Positioning Tables | Mechatronic Assemblies,,industrial manufacturing | electronics and semiconductor manufacturing | factory automation,,brand-iko-company | brand-iko-products,2026-08-24,EN_CONTENT_READY,SEO_CORE_READY,IKO Bearings,"IKO manufacturer profile covering bearings and linear-motion components, based on official company and product sources.",,,85
iks-group-of-companies,IKS GROUP OF COMPANIES,IKS GROUP OF COMPANIES,iks-group-of-companies,,REVIEW_REQUIRED,UNKNOWN,BRAND_REVIEW,,,,,,,,,,,,,,2026-08-24,NOT_READY,NOT_READY,,,AMBIGUOUS_IDENTITY,AMBIGUOUS_IDENTITY,0
ilapak,ILAPAK International S.A.,ILAPAK,ilapak,ILAPAK,CONFIRMED,GROUP_COMPANY,BRAND_SAFE,ilapak.com,https://www.ilapak.com/,Switzerland,"Lugano, Switzerland",1970,IMA Group,The source-backed ILAPAK portfolio covers filling and packaging machinery and industrial automation and control. Its documented corporate parent is IMA Group.,filling and packaging machinery | industrial automation and control,Horizontal Form-Fill-Seal Machines | Vertical Form-Fill-Seal Machines | Flow Wrappers | Dosing and Weighing Equipment | Counting Systems | Integrated Packaging Lines,,food and pharmaceutical processing | packaging,,brand-ilapak-company | brand-ilapak-products,2026-08-24,EN_CONTENT_READY,SEO_CORE_READY,ILAPAK Filling and packaging machinery,"ILAPAK manufacturer profile covering filling and packaging machinery and industrial automation and control, based on official company and product sources.",,,85
ilc,ILC S.r.l.,ILC,ilc,ILC | ILC LUBRICATION,CONFIRMED,CURRENT,BRAND_SAFE,ilclube.com,https://www.ilclube.com/en/,Italy,,1975,,"The source-backed ILC portfolio covers lubrication systems, pumps and pumping systems, and industrial automation and control. The confirmed country record is Italy.",lubrication systems | pumps and pumping systems | industrial automation and control,Electric Lubrication Pumps | Pneumatic Lubrication Pumps | Progressive Distributors | Dual-Line Distributors | Lubrication Injectors | Lubrication Controllers,,industrial processing,,brand-ilc-company | brand-ilc-products,2026-08-24,EN_CONTENT_READY,SEO_CORE_READY,ILC Lubrication systems,"ILC manufacturer profile covering lubrication systems, pumps and pumping systems, and industrial automation and control, based on official company and product sources.",,,80
ilmvac-gmbh,ILMVAC GMBH,ILMVAC GMBH,ilmvac-gmbh,,REVIEW_REQUIRED,UNKNOWN,BRAND_REVIEW,,,,,,,,,,,,,,2026-08-24,NOT_READY,NOT_READY,,,BLOCKED_LEGACY_IDENTITY,ACQUISITION_OR_LEGACY,0
ima,IMA S.p.A.,IMA,ima,IMA | IMA GROUP,CONFIRMED,CURRENT,BRAND_SAFE,ima.it,https://ima.it/,Italy,"Ozzano dell'Emilia, Bologna, Italy",1961,,"IMA S.p.A. is documented in official material for filling and packaging machinery, industrial machinery, and industrial automation and control. Official product material names Pharmaceutical Processing Machines, Pharmaceutical Packaging Machines, Tea and Coffee Packaging Systems, Food and Dairy Equipment, Consumer-Goods Packaging Lines, and End-of-Line Automation.",filling and packaging machinery | industrial machinery | industrial automation and control,Pharmaceutical Processing Machines | Pharmaceutical Packaging Machines | Tea and Coffee Packaging Systems | Food and Dairy Equipment | Consumer-Goods Packaging Lines | End-of-Line Automation,,food and pharmaceutical processing | packaging,brand-assets/logos/ima.jpg,brand-ima-company | brand-ima-businesses,2026-08-24,EN_CONTENT_READY,SEO_CORE_READY,IMA Filling and packaging machinery,"IMA manufacturer profile covering filling and packaging machinery, industrial machinery, and industrial automation and control, based on official company and product sources.",,,95
imav-hydraulik-gmbh,IMAV-Hydraulik GmbH,IMAV Hydraulik,imav-hydraulik-gmbh,IMAV HYDRAULIK | IMAV-HYDRAULIK,CONFIRMED,CURRENT,BRAND_SAFE,imav.com,https://www.imav.com/,Germany,"Willich, Germany",,,The source-backed IMAV Hydraulik portfolio covers hydraulic equipment and industrial valves and flow control. The confirmed country record is Germany.,hydraulic equipment | industrial valves and flow control,Cartridge Valves | CETOP Valves | Pressure-Control Valves | Flow-Control Valves | Hydraulic Manifolds | Custom Control Blocks,,industrial processing | industrial manufacturing,,brand-imav-company-products | brand-imav-products,2026-08-24,EN_CONTENT_READY,SEO_CORE_READY,IMAV Hydraulik Hydraulic equipment,"IMAV Hydraulik manufacturer profile covering hydraulic equipment and industrial valves and flow control, based on official company and product sources.",,,85
imi-ta,IMI Hydronic Engineering,IMI TA,imi-ta,IMI TA | TA HYDRONICS | TOUR & ANDERSSON,CONFIRMED,GROUP_BRAND,BRAND_SAFE,climatecontrol.imiplc.com,https://climatecontrol.imiplc.com/,,,,IMI plc,"IMI TA publishes official information for industrial valves and flow control, measurement and instrumentation, and thermal-management equipment. The published range names Balancing Valves, Control Valves, Differential-Pressure Controllers, Valve Actuators, Hydronic Measuring Instruments, Pressure-Maintenance Systems, TA-SCOPE, TA-Modulator, and TA-COMPACT.",industrial valves and flow control | measurement and instrumentation | thermal-management equipment,Balancing Valves | Control Valves | Differential-Pressure Controllers | Valve Actuators | Hydronic Measuring Instruments | Pressure-Maintenance Systems,TA-SCOPE | TA-Modulator | TA-COMPACT,building systems | industrial processing,,brand-imi-ta-parent-products,2026-08-24,EN_CONTENT_READY,SEO_CORE_READY,IMI TA Industrial valves and flow control,"IMI TA manufacturer profile covering industrial valves and flow control, measurement and instrumentation, and thermal-management equipment, based on official company and product sources.",,,75
ims,IMS,IMS,ims,,REVIEW_REQUIRED,UNKNOWN,BRAND_REVIEW,,,,,,,,,,,,,,2026-08-24,NOT_READY,NOT_READY,,,AMBIGUOUS_IDENTITY,AMBIGUOUS_IDENTITY,0
ina,INA,INA,ina,INA | SCHAEFFLER INA,CONFIRMED,GROUP_BRAND,BRAND_SAFE,schaeffler.com,https://www.schaeffler.com/en/products-and-solutions/industrial/product-portfolio/,Germany,,,Schaeffler AG,"Manufacturer-owned sources identify INA with bearings, linear-motion components, and shaft-locking and transmission components. The confirmed country record is Germany.",bearings | linear-motion components | shaft-locking and transmission components,Needle Roller Bearings | Ball and Roller Bearings | Linear Guides | Track Rollers | Bearing Housings | Overrunning Clutches | Engine Components,,transportation | industrial manufacturing | industrial processing,brand-assets/logos/ina.svg,brand-ina-parent-products,2026-08-24,EN_CONTENT_READY,SEO_CORE_READY,INA Bearings,"INA manufacturer profile covering bearings, linear-motion components, and shaft-locking and transmission components, based on official company and product sources.",,,90
inbal,Inbal Valves Ltd.,Inbal Valves,inbal,INBAL | INBAL VALVES,CONFIRMED,GROUP_COMPANY,BRAND_SAFE,inbalvalves.com,https://www.inbalvalves.com/,Israel,,,Bermad Group,First-party sources establish Inbal Valves in industrial valves and flow control. The confirmed country record is Israel.,industrial valves and flow control,Resilient-Seated Butterfly Valves | Metal-Seated Butterfly Valves | Dual-Plate Check Valves | Pneumatic Actuators | Electric Actuators | Valve-Control Packages,,industrial processing | water and wastewater | energy | chemical processing,brand-assets/logos/inbal.png,brand-inbal-company-products | brand-inbal-products,2026-08-24,EN_CONTENT_READY,SEO_CORE_READY,Inbal Valves Industrial valves and flow control,"Inbal Valves manufacturer profile covering industrial valves and flow control, based on official company and product sources.",,,90
indramat-rexroth,INDRAMAT REXROTH,INDRAMAT REXROTH,indramat-rexroth,,REVIEW_REQUIRED,UNKNOWN,BRAND_REVIEW,,,,,,,,,,,,,,2026-08-24,NOT_READY,NOT_READY,,,BLOCKED_LEGACY_IDENTITY,ACQUISITION_OR_LEGACY,0
inductotherm,Inductotherm Corp.,Inductotherm,inductotherm,INDUCTOTHERM | INDUCTOTHERM GROUP,CONFIRMED,GROUP_COMPANY,BRAND_SAFE,inductotherm.com,https://inductothermgroup.com/companies/inductotherm-corp/,United States,"Rancocas, New Jersey, United States",1953,Inductotherm Group,"The source-backed Inductotherm portfolio covers thermal-management equipment, industrial machinery, and industrial automation and control. Its documented corporate parent is Inductotherm Group.",thermal-management equipment | industrial machinery | industrial automation and control,Induction Melting Furnaces | Holding Furnaces | Induction Power Supplies | Automated Pouring Systems | Vacuum Induction Systems | Furnace Control Systems,,industrial manufacturing | transportation | industrial processing,brand-assets/logos/inductotherm.png,brand-inductotherm-company | brand-inductotherm-products,2026-08-28,EN_CONTENT_READY,SEO_CORE_READY,Inductotherm Thermal-management equipment,"Inductotherm manufacturer profile covering thermal-management equipment, industrial machinery, and industrial automation and control, based on official company and product sources.",,,95
industrial-power-and-control,INDUSTRIAL POWER AND CONTROL,INDUSTRIAL POWER AND CONTROL,industrial-power-and-control,,REVIEW_REQUIRED,UNKNOWN,BRAND_REVIEW,,,,,,,,,,,,,,2026-08-24,NOT_READY,NOT_READY,,,BLOCKED_NO_AUTHORITATIVE_SOURCE,OFFICIAL_SOURCE_NOT_ESTABLISHED,0
industrial-power-units,INDUSTRIAL POWER UNITS,INDUSTRIAL POWER UNITS,industrial-power-units,,REVIEW_REQUIRED,UNKNOWN,BRAND_REVIEW,,,,,,,,,,,,,,2026-08-24,NOT_READY,NOT_READY,,,BLOCKED_NON_MANUFACTURER_IDENTITY,NOT_MANUFACTURER_OR_SCOPE_MISMATCH,0
inever,INEVER,INEVER,inever,,REVIEW_REQUIRED,UNKNOWN,BRAND_REVIEW,,,,,,,,,,,,,,2026-08-24,NOT_READY,NOT_READY,,,BLOCKED_NO_AUTHORITATIVE_SOURCE,OFFICIAL_SOURCE_NOT_ESTABLISHED,0
infastaub,Infastaub GmbH,Infastaub,infastaub,INFASTAUB,CONFIRMED,GROUP_COMPANY,BRAND_SAFE,infastaub.de,https://www.infastaub.de/en/,Germany,"Bad Homburg, Germany",1967,Herding GmbH Filtertechnik,"Infastaub GmbH is documented in official material for filtration and water systems and pneumatic equipment. Official product material names Cartridge Filters, Bag Filters, Cassette Filters, Panel Filters, Containment Filter Systems, and Custom Dust Collectors.",filtration and water systems | pneumatic equipment,Cartridge Filters | Bag Filters | Cassette Filters | Panel Filters | Containment Filter Systems | Custom Dust Collectors,,food and pharmaceutical processing | chemical processing | industrial processing,,brand-infastaub-company | brand-infastaub-products,2026-08-24,EN_CONTENT_READY,SEO_CORE_READY,Infastaub Filtration and water systems,"Infastaub manufacturer profile covering filtration and water systems and pneumatic equipment, based on official company and product sources.",,,85
